gold,lang,variant,input,nlp_resolved,nlp_source,nlp_latency_ms,nlp_correct,e2e_verified,e2e_elapsed_sec,dispatched_count,write_source_cleanup_note
column,tr,e_oov_tr,dikey taşıyıcı profillere bilgi gir,,unresolved,2653.11,False,,,0,no_category_resolved
column,en,f_oov_en,annotate the vertical load-bearing members,beam,ollama,2602.05,False,False,,0,no_elements_of_category_in_model
column,en,g_indirect,tag the elements that transfer roof loads down,roof,rules,0.01,False,True,1.08,2,
beam,tr,a_direct_tr,kirişe not ekle,beam,rules,0.01,True,False,,0,no_elements_of_category_in_model
beam,en,b_direct_en,annotate the beams,beam,rules,0.03,True,False,,0,no_elements_of_category_in_model
beam,tr,c_synonym,yatay taşıyıcılara yorum yaz,,unresolved,2856.78,False,,,0,no_category_resolved
beam,tr,d_no_accent,kiris elemanlarina aciklama ekle,beam,rules,0.01,True,False,,0,no_elements_of_category_in_model
beam,tr,e_oov_tr,yatay yük taşıyan profillere bilgi gir,,unresolved,2732.03,False,,,0,no_category_resolved
beam,en,f_oov_en,annotate the horizontal load-carrying members,beam,ollama,2593.98,True,False,,0,no_elements_of_category_in_model
beam,en,g_indirect,tag the horizontal spans supporting the slabs,floor,ollama,2650.86,False,True,0.55,8,
railing,tr,a_direct_tr,korkuluğa not yaz,,unresolved,2635.31,False,,,0,no_category_resolved
railing,en,b_direct_en,annotate the railings,railing,rules,0.01,True,True,1.06,10,
railing,tr,c_synonym,tutamak sistemine yorum ekle,,unresolved,2680.14,False,,,0,no_category_resolved
railing,tr,d_no_accent,korkuluk elemanlarina aciklama yaz,railing,rules,0.01,True,True,0.56,10,
railing,tr,e_oov_tr,düşmeye karşı koruma elemanlarına bilgi gir,,unresolved,2769.77,False,,,0,no_category_resolved
railing,en,f_oov_en,annotate the fall-protection elements,,unresolved,2607.68,False,,,0,no_category_resolved
railing,en,g_indirect,tag the barriers people hold when using stairs,stair,rules,0.01,False,True,1.07,3,
room,tr,a_direct_tr,odalara yorum ekle,room,rules,0.02,True,True,1.04,14,
room,en,b_direct_en,annotate the rooms,room,rules,0.01,True,True,0.56,14,
room,tr,c_synonym,mekânlara not yaz,,unresolved,2701.81,False,,,0,no_category_resolved
room,tr,d_no_accent,oda bilgilerine aciklama ekle,room,rules,0.01,True,True,0.54,14,
room,tr,e_oov_tr,kapalı iç hacimlere bilgi gir,room,ollama,2806.92,True,True,0.56,14,
room,en,f_oov_en,annotate the enclosed interior spaces,room,ollama,2575.97,True,True,1.08,14,
room,en,g_indirect,tag the areas defined by four walls,wall,rules,0.01,False,True,1.06,56,
furniture,tr,a_direct_tr,mobilyalara yorum ekle,furniture,rules,0.01,True,True,0.55,30,
furniture,en,b_direct_en,annotate the furniture,furniture,rules,0.02,True,True,3.69,30,
furniture,tr,c_synonym,iç donatıya not yaz,,unresolved,2825.49,False,,,0,no_category_resolved
furniture,tr,d_no_accent,mobilya elemanlarina aciklama ekle,furniture,rules,0.01,True,True,1.05,30,
furniture,tr,e_oov_tr,oda içi kullanıcı eşyalarına bilgi gir,room,rules,0.02,False,True,8.79,14,
furniture,en,f_oov_en,annotate the movable indoor items,door,rules,0.01,False,True,1.05,16,
furniture,en,g_indirect,"tag the chairs, tables and storage units",furniture,ollama,2826.48,True,True,0.56,30,
light,tr,a_direct_tr,aydınlatmaya yorum ekle,light,rules,0.01,True,True,2.59,10,
light,en,b_direct_en,annotate the lighting fixtures,light,rules,0.01,True,True,0.53,10,
light,tr,c_synonym,lamba elemanlarına not yaz,,unresolved,2726.27,False,,,0,no_category_resolved
light,tr,d_no_accent,aydinlatma elemanlarina aciklama ekle,light,rules,0.01,True,True,1.05,10,
light,tr,e_oov_tr,mekânı ışıklandıran cihazlara bilgi gir,light,ollama,2690.24,True,True,1.09,10,
light,en,f_oov_en,annotate the illumination devices,,unresolved,2757.15,False,,,0,no_category_resolved
light,en,g_indirect,tag the fixtures that emit light at night,light,rules,0.03,True,True,1.09,10,
