gold,lang,variant,input,nlp_resolved,nlp_source,nlp_latency_ms,nlp_correct,e2e_verified,e2e_elapsed_sec,dispatched_count,write_source_cleanup_note
window,tr,d_no_accent,pencere elemanlarina aciklama ekle,window,rules,0.01,True,True,0.54,17,
window,tr,e_oov_tr,dış cepheye açılan şeffaf elemanlara not gir,window,ollama,2609.28,True,True,0.56,17,
window,en,f_oov_en,annotate the transparent facade openings,window,ollama,2631.69,True,True,1.05,17,
window,en,g_indirect,label elements that let light through the walls,wall,rules,0.01,False,True,0.53,56,
ceiling,tr,a_direct_tr,tavana not ekle,ceiling,rules,0.01,True,True,0.54,2,
ceiling,en,b_direct_en,add a note to the ceiling,ceiling,rules,0.02,True,True,1.04,2,
ceiling,tr,c_synonym,üst yüzeye yorum yaz,,unresolved,2752.29,False,,,0,no_category_resolved
ceiling,tr,d_no_accent,tavan elemanlarina aciklama ekle,ceiling,rules,0.01,True,True,0.52,2,
ceiling,tr,e_oov_tr,iç mekân üst kaplamalarına bilgi gir,ceiling,ollama,2800.75,True,True,0.56,2,
ceiling,en,f_oov_en,annotate the interior overhead surfaces,ceiling,ollama,2622.97,True,True,0.54,2,
ceiling,en,g_indirect,mark the surface directly above the room,room,rules,0.01,False,True,0.54,14,
stair,tr,a_direct_tr,merdivene yorum yaz,stair,rules,0.02,True,True,0.53,3,
stair,en,b_direct_en,annotate the stairs,stair,rules,0.01,True,True,0.52,3,
stair,tr,c_synonym,basamak sistemine açıklama ekle,,unresolved,2843.83,False,,,0,no_category_resolved
stair,tr,d_no_accent,merdiven elemanlarina not yaz,stair,rules,0.02,True,True,1.05,3,
stair,tr,e_oov_tr,katlar arası geçiş yapılarına bilgi gir,,unresolved,2580.96,False,,,0,no_category_resolved
stair,en,f_oov_en,annotate the inter-floor circulation elements,floor,rules,0.01,False,True,0.54,8,
stair,en,g_indirect,tag what you climb to change levels,stair,ollama,2704.66,True,True,0.56,3,
column,tr,a_direct_tr,kolona not ekle,column,rules,0.02,True,True,0.54,3,
column,en,b_direct_en,add a note to the columns,column,rules,0.02,True,True,0.52,3,
column,tr,c_synonym,düşey yapısal elemanlara yorum yaz,,unresolved,2734.16,False,,,0,no_category_resolved
column,tr,d_no_accent,kolon elemanlarina aciklama ekle,column,rules,0.02,True,True,1.06,3,
column,tr,e_oov_tr,dikey taşıyıcı profillere bilgi gir,,unresolved,2708.57,False,,,0,no_category_resolved
column,en,f_oov_en,annotate the vertical load-bearing members,beam,ollama,2582.19,False,False,,0,no_elements_of_category_in_model
column,en,g_indirect,tag the elements that transfer roof loads down,roof,rules,0.02,False,True,0.04,2,
beam,tr,a_direct_tr,kirişe not ekle,beam,rules,0.01,True,False,,0,no_elements_of_category_in_model
beam,en,b_direct_en,annotate the beams,beam,rules,0.01,True,False,,0,no_elements_of_category_in_model
beam,tr,c_synonym,yatay taşıyıcılara yorum yaz,,unresolved,2711.04,False,,,0,no_category_resolved
beam,tr,d_no_accent,kiris elemanlarina aciklama ekle,beam,rules,0.01,True,False,,0,no_elements_of_category_in_model
beam,tr,e_oov_tr,yatay yük taşıyan profillere bilgi gir,,unresolved,2659.84,False,,,0,no_category_resolved
beam,en,f_oov_en,annotate the horizontal load-carrying members,beam,ollama,2473.16,True,False,,0,no_elements_of_category_in_model
beam,en,g_indirect,tag the horizontal spans supporting the slabs,floor,ollama,2543.05,False,True,1.04,8,
railing,tr,a_direct_tr,korkuluğa not yaz,,unresolved,2686.1,False,,,0,no_category_resolved
railing,en,b_direct_en,annotate the railings,railing,rules,0.01,True,True,0.55,10,
railing,tr,c_synonym,tutamak sistemine yorum ekle,,unresolved,2596.87,False,,,0,no_category_resolved
railing,tr,d_no_accent,korkuluk elemanlarina aciklama yaz,railing,rules,0.01,True,True,1.04,10,
railing,tr,e_oov_tr,düşmeye karşı koruma elemanlarına bilgi gir,,unresolved,2723.47,False,,,0,no_category_resolved
railing,en,f_oov_en,annotate the fall-protection elements,,unresolved,2573.17,False,,,0,no_category_resolved
railing,en,g_indirect,tag the barriers people hold when using stairs,stair,rules,0.07,False,True,0.56,3,
room,tr,a_direct_tr,odalara yorum ekle,room,rules,0.01,True,True,1.06,14,
room,en,b_direct_en,annotate the rooms,room,rules,0.01,True,True,0.56,14,
room,tr,c_synonym,mekânlara not yaz,,unresolved,2641.34,False,,,0,no_category_resolved
room,tr,d_no_accent,oda bilgilerine aciklama ekle,room,rules,0.01,True,True,0.53,14,
room,tr,e_oov_tr,kapalı iç hacimlere bilgi gir,room,ollama,2682.0,True,True,0.54,14,
room,en,f_oov_en,annotate the enclosed interior spaces,room,ollama,2594.66,True,True,1.08,14,
room,en,g_indirect,tag the areas defined by four walls,wall,rules,0.02,False,True,0.55,56,
furniture,tr,a_direct_tr,mobilyalara yorum ekle,furniture,rules,0.02,True,True,0.55,30,
furniture,en,b_direct_en,annotate the furniture,furniture,rules,0.01,True,False,20.16,30,
furniture,tr,c_synonym,iç donatıya not yaz,,unresolved,2815.0,False,,,0,no_category_resolved
furniture,tr,d_no_accent,mobilya elemanlarina aciklama ekle,furniture,rules,0.01,True,False,20.13,30,
furniture,tr,e_oov_tr,oda içi kullanıcı eşyalarına bilgi gir,room,rules,0.01,False,True,1.58,14,
furniture,en,f_oov_en,annotate the movable indoor items,door,rules,0.01,False,True,0.56,16,
furniture,en,g_indirect,"tag the chairs, tables and storage units",furniture,ollama,2635.23,True,True,0.53,30,
light,tr,a_direct_tr,aydınlatmaya yorum ekle,light,rules,0.01,True,True,3.11,10,
light,en,b_direct_en,annotate the lighting fixtures,light,rules,0.02,True,True,1.04,10,
light,tr,c_synonym,lamba elemanlarına not yaz,,unresolved,2708.34,False,,,0,no_category_resolved
light,tr,d_no_accent,aydinlatma elemanlarina aciklama ekle,light,rules,0.01,True,True,1.03,10,
light,tr,e_oov_tr,mekânı ışıklandıran cihazlara bilgi gir,light,ollama,2740.37,True,True,1.04,10,
light,en,f_oov_en,annotate the illumination devices,,unresolved,2670.91,False,,,0,no_category_resolved
light,en,g_indirect,tag the fixtures that emit light at night,light,rules,0.03,True,True,1.06,10,
