gold,lang,variant,input,nlp_resolved,nlp_source,nlp_latency_ms,nlp_correct,e2e_verified,e2e_elapsed_sec,dispatched_count,write_source_cleanup_note
room,tr,d_no_accent,oda bilgilerine aciklama ekle,room,rules,0.02,True,True,1.05,14,
room,tr,e_oov_tr,kapalı iç hacimlere bilgi gir,room,ollama,2609.69,True,True,1.08,14,
room,en,f_oov_en,annotate the enclosed interior spaces,room,ollama,2619.68,True,True,0.53,14,
room,en,g_indirect,tag the areas defined by four walls,wall,rules,0.01,False,True,0.54,56,
furniture,tr,a_direct_tr,mobilyalara yorum ekle,furniture,rules,0.01,True,True,0.56,30,
furniture,en,b_direct_en,annotate the furniture,furniture,rules,0.02,True,False,20.07,30,
furniture,tr,c_synonym,iç donatıya not yaz,,unresolved,2764.42,False,,,0,no_category_resolved
furniture,tr,d_no_accent,mobilya elemanlarina aciklama ekle,furniture,rules,0.03,True,False,20.26,30,
furniture,tr,e_oov_tr,oda içi kullanıcı eşyalarına bilgi gir,room,rules,0.02,False,False,20.01,14,
furniture,en,f_oov_en,annotate the movable indoor items,door,rules,0.02,False,False,20.2,16,
furniture,en,g_indirect,"tag the chairs, tables and storage units",furniture,ollama,2636.58,True,True,0.55,30,
light,tr,a_direct_tr,aydınlatmaya yorum ekle,light,rules,0.01,True,True,1.06,10,
light,en,b_direct_en,annotate the lighting fixtures,light,rules,0.01,True,True,1.07,10,
light,tr,c_synonym,lamba elemanlarına not yaz,,unresolved,2673.05,False,,,0,no_category_resolved
light,tr,d_no_accent,aydinlatma elemanlarina aciklama ekle,light,rules,0.01,True,True,0.54,10,
light,tr,e_oov_tr,mekânı ışıklandıran cihazlara bilgi gir,light,ollama,2643.11,True,True,0.56,10,
light,en,f_oov_en,annotate the illumination devices,,unresolved,2678.71,False,,,0,no_category_resolved
light,en,g_indirect,tag the fixtures that emit light at night,light,rules,0.02,True,True,0.56,10,
