gold,lang,variant,input,nlp_resolved,nlp_source,nlp_latency_ms,nlp_correct,e2e_verified,e2e_elapsed_sec,dispatched_count,write_source_cleanup_note
window,tr,e_oov_tr,dış cepheye açılan şeffaf elemanlara not gir,window,ollama,2627.35,True,True,1.08,17,
window,en,f_oov_en,annotate the transparent facade openings,window,ollama,2756.08,True,True,0.55,17,
window,en,g_indirect,label elements that let light through the walls,wall,rules,0.01,False,True,0.56,56,
ceiling,tr,a_direct_tr,tavana not ekle,ceiling,rules,0.01,True,True,0.55,2,
ceiling,en,b_direct_en,add a note to the ceiling,ceiling,rules,0.01,True,True,0.55,2,
ceiling,tr,c_synonym,üst yüzeye yorum yaz,,unresolved,2706.5,False,,,0,no_category_resolved
ceiling,tr,d_no_accent,tavan elemanlarina aciklama ekle,ceiling,rules,0.01,True,True,1.06,2,
ceiling,tr,e_oov_tr,iç mekân üst kaplamalarına bilgi gir,ceiling,ollama,2589.0,True,True,1.06,2,
ceiling,en,f_oov_en,annotate the interior overhead surfaces,ceiling,ollama,2691.84,True,True,0.54,2,
ceiling,en,g_indirect,mark the surface directly above the room,room,rules,0.03,False,True,0.56,14,
stair,tr,a_direct_tr,merdivene yorum yaz,stair,rules,0.01,True,True,0.54,3,
stair,en,b_direct_en,annotate the stairs,stair,rules,0.01,True,True,0.55,3,
stair,tr,c_synonym,basamak sistemine açıklama ekle,,unresolved,2687.01,False,,,0,no_category_resolved
stair,tr,d_no_accent,merdiven elemanlarina not yaz,stair,rules,0.01,True,True,1.06,3,
stair,tr,e_oov_tr,katlar arası geçiş yapılarına bilgi gir,,unresolved,2600.92,False,,,0,no_category_resolved
stair,en,f_oov_en,annotate the inter-floor circulation elements,floor,rules,0.01,False,True,0.54,8,
stair,en,g_indirect,tag what you climb to change levels,stair,ollama,2699.47,True,True,0.52,3,
column,tr,a_direct_tr,kolona not ekle,column,rules,0.01,True,True,0.56,3,
column,en,b_direct_en,add a note to the columns,column,rules,0.01,True,True,0.53,3,
column,tr,c_synonym,düşey yapısal elemanlara yorum yaz,,unresolved,2826.55,False,,,0,no_category_resolved
column,tr,d_no_accent,kolon elemanlarina aciklama ekle,column,rules,0.01,True,True,1.03,3,
column,tr,e_oov_tr,dikey taşıyıcı profillere bilgi gir,,unresolved,2458.92,False,,,0,no_category_resolved
column,en,f_oov_en,annotate the vertical load-bearing members,beam,ollama,2560.39,False,False,,0,no_elements_of_category_in_model
column,en,g_indirect,tag the elements that transfer roof loads down,roof,rules,0.01,False,True,0.55,2,
beam,tr,a_direct_tr,kirişe not ekle,beam,rules,0.01,True,False,,0,no_elements_of_category_in_model
beam,en,b_direct_en,annotate the beams,beam,rules,0.01,True,False,,0,no_elements_of_category_in_model
beam,tr,c_synonym,yatay taşıyıcılara yorum yaz,,unresolved,2777.67,False,,,0,no_category_resolved
beam,tr,d_no_accent,kiris elemanlarina aciklama ekle,beam,rules,0.01,True,False,,0,no_elements_of_category_in_model
beam,tr,e_oov_tr,yatay yük taşıyan profillere bilgi gir,,unresolved,2629.86,False,,,0,no_category_resolved
beam,en,f_oov_en,annotate the horizontal load-carrying members,beam,ollama,2757.34,True,False,,0,no_elements_of_category_in_model
beam,en,g_indirect,tag the horizontal spans supporting the slabs,floor,ollama,2601.94,False,True,0.55,8,
railing,tr,a_direct_tr,korkuluğa not yaz,,unresolved,2631.74,False,,,0,no_category_resolved
railing,en,b_direct_en,annotate the railings,railing,rules,0.02,True,True,1.08,10,
railing,tr,c_synonym,tutamak sistemine yorum ekle,,unresolved,2627.71,False,,,0,no_category_resolved
railing,tr,d_no_accent,korkuluk elemanlarina aciklama yaz,railing,rules,0.01,True,True,0.54,10,
railing,tr,e_oov_tr,düşmeye karşı koruma elemanlarına bilgi gir,,unresolved,2795.57,False,,,0,no_category_resolved
railing,en,f_oov_en,annotate the fall-protection elements,,unresolved,2599.21,False,,,0,no_category_resolved
railing,en,g_indirect,tag the barriers people hold when using stairs,stair,rules,0.01,False,True,1.05,3,
room,tr,a_direct_tr,odalara yorum ekle,room,rules,0.01,True,True,0.56,14,
room,en,b_direct_en,annotate the rooms,room,rules,0.03,True,True,0.56,14,
room,tr,c_synonym,mekânlara not yaz,,unresolved,2812.13,False,,,0,no_category_resolved
room,tr,d_no_accent,oda bilgilerine aciklama ekle,room,rules,0.01,True,True,1.07,14,
room,tr,e_oov_tr,kapalı iç hacimlere bilgi gir,room,ollama,2655.84,True,True,0.56,14,
room,en,f_oov_en,annotate the enclosed interior spaces,room,ollama,2603.87,True,True,1.08,14,
room,en,g_indirect,tag the areas defined by four walls,wall,rules,0.01,False,True,0.53,56,
furniture,tr,a_direct_tr,mobilyalara yorum ekle,furniture,rules,0.01,True,True,1.04,30,
furniture,en,b_direct_en,annotate the furniture,furniture,rules,0.01,True,False,20.08,30,
furniture,tr,c_synonym,iç donatıya not yaz,,unresolved,2831.2,False,,,0,no_category_resolved
furniture,tr,d_no_accent,mobilya elemanlarina aciklama ekle,furniture,rules,0.03,True,False,20.26,30,
furniture,tr,e_oov_tr,oda içi kullanıcı eşyalarına bilgi gir,room,rules,0.01,False,True,5.13,14,
furniture,en,f_oov_en,annotate the movable indoor items,door,rules,0.01,False,True,0.55,16,
furniture,en,g_indirect,"tag the chairs, tables and storage units",furniture,ollama,2767.19,True,True,0.54,30,
light,tr,a_direct_tr,aydınlatmaya yorum ekle,light,rules,0.01,True,True,3.06,10,
light,en,b_direct_en,annotate the lighting fixtures,light,rules,0.01,True,True,0.55,10,
light,tr,c_synonym,lamba elemanlarına not yaz,,unresolved,2670.84,False,,,0,no_category_resolved
light,tr,d_no_accent,aydinlatma elemanlarina aciklama ekle,light,rules,0.01,True,True,0.54,10,
light,tr,e_oov_tr,mekânı ışıklandıran cihazlara bilgi gir,light,ollama,2651.79,True,True,0.54,10,
light,en,f_oov_en,annotate the illumination devices,,unresolved,2690.96,False,,,0,no_category_resolved
light,en,g_indirect,tag the fixtures that emit light at night,light,rules,0.01,True,True,0.54,10,
